"","date","province","confirmed_cases","active_cases"
"339",2020-05-30,"MPUMALANGA",113,46
"340",2020-05-30,"NORTHERN CAPE",57,25
"341",2020-05-30,"NORTH WEST",162,116
"342",2020-05-30,"WESTERN CAPE",20160,9187
"343",2020-05-31,"EASTERN CAPE",3927,1858
"344",2020-05-31,"FREE STATE",278,146
"345",2020-05-31,"GAUTENG",4003,1910
"346",2020-05-31,"KWAZULU NATAL",2545,1245
"347",2020-05-31,"LIMPOPO",177,31
"348",2020-05-31,"MPUMALANGA",121,49
"349",2020-05-31,"NORTHERN CAPE",69,37
"350",2020-05-31,"NORTH WEST",175,129
"351",2020-05-31,"WESTERN CAPE",21382,9780
"352",2020-06-01,"EASTERN CAPE",4111,1906
"353",2020-06-01,"FREE STATE",285,154
"354",2020-06-01,"GAUTENG",4231,2138
"355",2020-06-01,"KWAZULU NATAL",2565,1265
"356",2020-06-01,"LIMPOPO",192,45
"357",2020-06-01,"MPUMALANGA",131,45
"358",2020-06-01,"NORTHERN CAPE",82,50
"359",2020-06-01,"NORTH WEST",187,141
"360",2020-06-01,"WESTERN CAPE",22567,10611
"361",2020-06-02,"EASTERN CAPE",4324,2113
"362",2020-06-02,"FREE STATE",299,168
"363",2020-06-02,"GAUTENG",4276,2183
"364",2020-06-02,"KWAZULU NATAL",2637,1336
"365",2020-06-02,"LIMPOPO",193,45
"366",2020-06-02,"MPUMALANGA",132,46
"367",2020-06-02,"NORTHERN CAPE",91,57
"368",2020-06-02,"NORTH WEST",271,211
"369",2020-06-02,"WESTERN CAPE",23583,10579
"370",2020-06-03,"EASTERN CAPE",4526,2308
"371",2020-06-03,"FREE STATE",319,188
"372",2020-06-03,"GAUTENG",4567,2365
"373",2020-06-03,"KWAZULU NATAL",2707,1405
"374",2020-06-03,"LIMPOPO",200,52
"375",2020-06-03,"MPUMALANGA",137,51
"376",2020-06-03,"NORTHERN CAPE",93,59
"377",2020-06-03,"NORTH WEST",314,254
"378",2020-06-03,"WESTERN CAPE",24657,10364
"379",2020-06-04,"EASTERN CAPE",4936,2381
"380",2020-06-04,"FREE STATE",322,185
"381",2020-06-04,"GAUTENG",4845,2590
"382",2020-06-04,"KWAZULU NATAL",2869,1554
"383",2020-06-04,"LIMPOPO",206,57
"384",2020-06-04,"MPUMALANGA",144,58
"385",2020-06-04,"NORTHERN CAPE",95,61
"386",2020-06-04,"NORTH WEST",364,304
"387",2020-06-04,"WESTERN CAPE",27006,11438
"388",2020-06-05,"EASTERN CAPE",5240,2685
"389",2020-06-05,"FREE STATE",336,204
"390",2020-06-05,"GAUTENG",5215,2831
"391",2020-06-05,"KWAZULU NATAL",2936,1503
"392",2020-06-05,"LIMPOPO",215,63
"393",2020-06-05,"MPUMALANGA",169,75
"394",2020-06-05,"NORTHERN CAPE",102,67
"395",2020-06-05,"NORTH WEST",409,335
"396",2020-06-05,"WESTERN CAPE",28807,11670
"397",2020-06-06,"EASTERN CAPE",5629,2862
"398",2020-06-06,"FREE STATE",348,187
"399",2020-06-06,"GAUTENG",5626,3235
"400",2020-06-06,"KWAZULU NATAL",3016,1577
"401",2020-06-06,"LIMPOPO",216,55
"402",2020-06-06,"MPUMALANGA",181,87
"403",2020-06-06,"NORTHERN CAPE",105,66
"404",2020-06-06,"NORTH WEST",468,394
"405",2020-06-06,"WESTERN CAPE",30379,12295
"406",2020-06-07,"EASTERN CAPE",5974,3207
"407",2020-06-07,"FREE STATE",361,200
"408",2020-06-07,"GAUTENG",5946,3471
"409",2020-06-07,"KWAZULU NATAL",3108,1669
"410",2020-06-07,"LIMPOPO",227,66
"411",2020-06-07,"MPUMALANGA",189,86
"412",2020-06-07,"NORTHERN CAPE",114,72
"413",2020-06-07,"NORTH WEST",523,449
"414",2020-06-07,"WESTERN CAPE",31824,13684
"415",2020-06-08,"EASTERN CAPE",6341,3548
"416",2020-06-08,"FREE STATE",373,212
"417",2020-06-08,"GAUTENG",6258,3783
"418",2020-06-08,"KWAZULU NATAL",3175,1735
"419",2020-06-08,"LIMPOPO",244,83
"420",2020-06-08,"MPUMALANGA",183,80
"421",2020-06-08,"NORTHERN CAPE",118,76
"422",2020-06-08,"NORTH WEST",580,506
"423",2020-06-08,"WESTERN CAPE",33568,13638
"424",2020-06-09,"EASTERN CAPE",6760,3108
"425",2020-06-09,"FREE STATE",391,220
"426",2020-06-09,"GAUTENG",6546,3914
"427",2020-06-09,"KWAZULU NATAL",3255,1627
"428",2020-06-09,"LIMPOPO",253,92
"429",2020-06-09,"MPUMALANGA",184,72
"430",2020-06-09,"NORTHERN CAPE",122,80
"431",2020-06-09,"NORTH WEST",604,515
"432",2020-06-09,"WESTERN CAPE",34819,13138
"433",2020-06-10,"EASTERN CAPE",7154,3360
"434",2020-06-10,"FREE STATE",401,230
"435",2020-06-10,"GAUTENG",7195,4313
"436",2020-06-10,"KWAZULU NATAL",3347,1711
"437",2020-06-10,"LIMPOPO",257,79
"438",2020-06-10,"MPUMALANGA",207,90
"439",2020-06-10,"NORTHERN CAPE",125,82
"440",2020-06-10,"NORTH WEST",657,552
"441",2020-06-10,"WESTERN CAPE",36021,12232
"442",2020-06-11,"EASTERN CAPE",7868,4043
"443",2020-06-11,"FREE STATE",406,235
"444",2020-06-11,"GAUTENG",7953,5071
"445",2020-06-11,"KWAZULU NATAL",3472,1836
"446",2020-06-11,"LIMPOPO",267,89
"447",2020-06-11,"MPUMALANGA",228,111
"448",2020-06-11,"NORTHERN CAPE",132,89
"449",2020-06-11,"NORTH WEST",757,648
"450",2020-06-11,"WESTERN CAPE",37422,13594
"451",2020-06-12,"EASTERN CAPE",8615,4014
"452",2020-06-12,"FREE STATE",435,237
"453",2020-06-12,"GAUTENG",8781,5776
"454",2020-06-12,"KWAZULU NATAL",3573,1937
"455",2020-06-12,"LIMPOPO",288,109
"456",2020-06-12,"MPUMALANGA",243,126
"457",2020-06-12,"NORTHERN CAPE",138,85
"458",2020-06-12,"NORTH WEST",865,732
"459",2020-06-12,"WESTERN CAPE",38926,12486
"460",2020-06-13,"EASTERN CAPE",9250,4474
"461",2020-06-13,"FREE STATE",457,259
"462",2020-06-13,"GAUTENG",9897,6741
"463",2020-06-13,"KWAZULU NATAL",3763,1889
"464",2020-06-13,"LIMPOPO",309,120
