"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"153","06/01/2020",6,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"154","05/01/2020",5,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"155","04/01/2020",4,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"156","03/01/2020",3,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"157","02/01/2020",2,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"158","01/01/2020",1,1,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"159","31/12/2019",31,12,2019,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"160","16/06/2020",16,6,2020,69,0,"Albania","AL","ALB",2866376,"Europe"
"161","15/06/2020",15,6,2020,57,0,"Albania","AL","ALB",2866376,"Europe"
"162","14/06/2020",14,6,2020,48,0,"Albania","AL","ALB",2866376,"Europe"
"163","13/06/2020",13,6,2020,31,1,"Albania","AL","ALB",2866376,"Europe"
"164","12/06/2020",12,6,2020,44,1,"Albania","AL","ALB",2866376,"Europe"
"165","11/06/2020",11,6,2020,42,0,"Albania","AL","ALB",2866376,"Europe"
"166","10/06/2020",10,6,2020,36,0,"Albania","AL","ALB",2866376,"Europe"
"167","09/06/2020",9,6,2020,17,0,"Albania","AL","ALB",2866376,"Europe"
"168","08/06/2020",8,6,2020,14,0,"Albania","AL","ALB",2866376,"Europe"
"169","07/06/2020",7,6,2020,20,1,"Albania","AL","ALB",2866376,"Europe"
"170","06/06/2020",6,6,2020,15,0,"Albania","AL","ALB",2866376,"Europe"
"171","05/06/2020",5,6,2020,13,0,"Albania","AL","ALB",2866376,"Europe"
"172","04/06/2020",4,6,2020,20,0,"Albania","AL","ALB",2866376,"Europe"
"173","03/06/2020",3,6,2020,21,0,"Albania","AL","ALB",2866376,"Europe"
"174","02/06/2020",2,6,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"175","01/06/2020",1,6,2020,15,0,"Albania","AL","ALB",2866376,"Europe"
"176","31/05/2020",31,5,2020,23,0,"Albania","AL","ALB",2866376,"Europe"
"177","30/05/2020",30,5,2020,23,0,"Albania","AL","ALB",2866376,"Europe"
"178","29/05/2020",29,5,2020,26,0,"Albania","AL","ALB",2866376,"Europe"
"179","28/05/2020",28,5,2020,21,0,"Albania","AL","ALB",2866376,"Europe"
